Model Name,Validation Accuracy
Simple Logistic Regression,87.8
Grid Search Logistic Regression,87.7
Simple Polynomial Regression,85.97
Grid Search Polynomial Regression,85.89
Simple Decision Tree,86.87
Grid Search Decision Tree,87.98
Simple AdaBoost,71.18
Grid Search AdaBoost,87.49
Simple Random Forest,89.63
Grid Search Random Forest,90.06
Simple XgBoost,89.82
Grid Search XgBoost,90.9
Optuna + XgBoost,91.1
Simple LightGBM,89.92
Grid Search LightGBM,90.9
Optuna + LightGBM,90.6
Simple KNN,83.09
Grid search KNN,85.7
Simple Naïve Bayes,72.45
Grid Search Naïve Bayes,75.61
